	Taxonomy	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
QD_2020_08_bin_227	Acidobacteria	8.06024205	16.08963886	6.977720662	18.53603904	15.12675611	7.586031905	9.989855658	7.023540077	10.43804071	2.145386559	7.8357116	3.5523985	7.12806127	8.012654267	9.197477361	3.395526141	3.725266996	4.956943451	10.32513065	13.26828949	9.481299038	4.790662041	3.590628329	4.482543493	10.60939011	8.620260095	11.74168499	0	2.196730842	1.169044686	12.37847725	16.09165965	0.818975312	1.731301486	2.358976661	1.302250646
QD_2020_08_bin_254	Acidobacteria	3.704504201	24.4975747	14.79431335	13.10167094	3.789386795	20.74482192	5.239196283	2.835793754	9.924186739	9.700103917	10.41747157	3.560204299	2.956018419	7.114616525	32.93768177	5.176911827	2.434460847	2.633660224	3.653992454	11.05813053	3.543282835	0	0	0.179133948	1.516971171	0.120889615	1.282619053	1.849208527	1.207527002	0.230985387	0.273790901	2.716477055	0	0	0	0
QD_2020_08_bin_259	Acidobacteria	12.82522515	1.491401208	3.810209577	24.43955389	0.962217495	0	1.106176504	2.991718497	0	0.433706774	0.26022759	0	1.657478906	0.817538329	1.044081559	0	0.203965794	1.361859381	0.670426757	0	0	0	0	0.390999862	1.990438825	0.310945075	0.931673547	0	0	0	0.555646897	0	0	0	0	0
QD_2020_10_bin_135	Acidobacteria	30.15325328	32.06239174	121.3821339	36.64605887	16.27760998	71.10979564	12.6664102	4.939114798	16.98236906	88.66929319	7.346708494	0.984348312	5.914177084	10.99029384	69.13045743	1.237530191	2.246841613	4.669454028	7.892404423	8.313381908	1.666551028	0	0	0.317281765	9.475616211	3.820654805	7.139135083	2.550693066	0.147262082	0	1.930072153	4.183825087	0	0	0	0
QD_2020_10_bin_224	Acidobacteria	3.310095064	4.446135517	1.776045005	4.027195331	11.93960004	12.31167805	9.168829329	19.01984777	16.90610522	5.954304552	16.7056797	23.47148431	9.622085674	15.50971347	5.925443982	18.34563076	14.82642542	20.95929678	15.85511519	17.17714121	10.56187333	14.53178849	20.16647687	14.3320802	3.059469383	3.997910617	11.80419749	28.33737021	25.21798656	18.49084336	2.767757495	10.13315481	18.92227907	27.57480083	21.11433958	28.29801309
QD_2020_12_bin_83	Acidobacteria	40.04207701	50.70903745	7.983712687	31.86592757	1.584289265	24.77999019	5.751680173	11.40744938	3.037526783	8.989585699	0.097082072	0	16.01637852	6.346284339	67.88724191	0	0	0	2.236085544	0	0	0	0	0	68.89766437	13.53847753	8.269699692	5.476027357	0	0	20.17223587	0.14681898	0	0	0	0
QD_2021_02_bin_88	Acidobacteria	19.42143128	18.46705351	14.30229094	16.08128855	35.36793928	14.94212207	31.57816901	32.78622681	32.84484275	9.124773098	18.83123428	46.8003247	31.93394617	43.99964622	19.24526247	29.96604931	33.02987042	42.46238392	37.500768	16.41836913	19.07717194	41.96541853	38.30306928	34.55914461	16.39664581	24.65431774	17.44880452	0	44.99703302	45.12083748	29.72903227	10.49370125	45.48271828	44.48602526	41.09421467	40.64024936
QD_2021_04_bin_213	Acidobacteria	11.05817805	22.60921047	8.999772332	16.20688638	11.99275631	7.607458868	11.87341223	7.950822593	12.73272305	6.072617236	12.65331991	16.33653422	13.43126482	15.24232808	14.12342858	13.9856083	13.96089619	16.5485073	16.52135902	12.37743115	15.65528395	12.27830425	10.77315279	13.62309061	12.83857003	11.43780379	20.30718129	13.5020491	12.44614104	11.09139275	16.01365452	18.59834502	9.911885802	12.1470569	8.426765564	10.39332537
QD_2021_04_bin_216	Acidobacteria	34.91638504	44.7533639	34.1940022	24.92552055	20.97648639	9.735496141	17.81031656	6.981592689	13.84058834	3.814547452	0	0	11.68239035	11.77580412	60.68770861	0	0	0.373464916	4.220569313	0	0	0	0	0	56.79749343	79.80681318	10.17978694	0	0	0	84.71574697	2.538496489	0	0	0	0
QD_2020_08_bin_206	Acidobacteria	730.9824145	255.4567657	63.81050285	158.4283107	2.705328678	6.002772348	27.85363965	14.7865659	3.393239778	0	0	0	51.73715069	20.3541555	14.82187777	0	0	0	7.181830942	0	0	0	0	0	28.35386423	30.71398554	1.458729613	0.063572834	0	0	18.08176805	0	0	0	0	0
