	Taxonomy	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
QD_2104_contig_4176358	Acidobacteria	78.97375602	18.90303153	1.617878557	18.34923317	0	0.225868831	4.206709318	2.665927651	0	0	0	0	5.902919428	1.165541443	3.484230195	0	0	0	0.409709341	0	0	0	0	0	32.09882577	57.54194033	0	0	0	0	16.20321528	0	0	0	0	0
QD_2104_contig_4623034	Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.503227857	0	0	0	0	0	9.530541702	74.48520011	22.61802759	0	0	0	0	0	0	0	0	0
QD_2008_contig_21622286	Acidobacteria	89.85827371	9.726715383	5.155424756	7.281890657	0	0	1.24725979	0	0	0	0	0	3.485280975	0.81972945	0	0	0	0	0	0	0	0	0	0	0.452988374	0.060203887	0	0	0	0	0	0	0	0	0	0
QD_2008_contig_13372256||full	Acidobacteria	624.1659644	217.0584191	44.83381072	139.9422854	1.892547613	4.308322529	23.05991656	14.2339532	2.337581526	0	0	0	44.36688634	21.61423141	7.530564228	0	0	0.397693969	7.634658033	0	0	0	0	0	19.55228925	26.91280186	2.116704429	0	0	0	23.09585862	0	0	0	0	0
QD_2008_contig_16383788	Acidobacteria	38.48880459	46.19515954	6.761803433	32.75111714	1.821006683	26.34026152	4.875402129	11.01537479	3.47883795	7.618174287	0.001297016	0	15.0679741	5.911851298	59.65399166	0	0	0	1.92712456	0	0	0	0	0	59.44072418	14.56128794	9.28863598	0	0	0	21.59747645	0	0	0	0	0
QD_2008_contig_3441606||full	Acidobacteria	592.4934912	213.1719095	49.58891303	117.375778	2.728709719	17.61047951	20.07461158	14.83092712	6.216353268	5.10503735	0.566363198	0	42.35694301	20.76315701	49.73594976	0	0	0	6.891687907	0	0	0	0	0	65.47967245	30.8735479	8.309214366	0	0	0	22.39534569	0.070930172	0	0	0	0
QD_2008_contig_483348	Acidobacteria	725.8945365	250.5343122	68.74584963	160.6660818	1.808233382	4.443889914	26.03170724	16.79245764	3.297926051	0	0	0	45.50135546	20.04184125	13.51950471	0	0	0	5.98511077	0	0	0	0	0	22.62033709	29.13290984	2.466189754	0	0	0	15.64856285	0	0	0	0	0
QD_2012_contig_1377437	Acidobacteria	736.5345931	254.4010651	62.7622359	166.4652703	2.453092161	6.257055466	25.59391987	16.53260365	2.336364577	0	0	0	53.20366691	21.53101891	14.10176057	0	0	0	6.514206774	0	0	0	0	0	25.03138983	28.39107678	1.715137679	0	0	0	17.48378197	0	0	0	0	0
QD_2012_contig_759247	Acidobacteria	590.4663024	206.505164	46.01550834	125.220626	2.921013586	2.520985577	23.61869173	13.87956579	3.680639866	0.267095777	0	0	38.59976102	14.05144297	15.86707489	0	0	0	4.873372766	0	0	0	0	0	17.93706146	23.50159015	0.512646752	0	0	0	22.93811112	0	0	0	0	0
QD_2010_contig_4873188||full	Acidobacteria	5.188779727	26.81060518	13.25039522	16.19074007	13.66647385	7.750467243	15.91244303	11.9163858	17.63303869	4.510318452	16.2139584	27.12491425	16.22130082	17.78904535	8.207824128	17.25640484	15.05579803	23.69801287	11.74149086	14.3320318	11.53312588	16.22621705	13.88685348	11.4380851	4.435669968	9.338982345	12.77587524	23.25182323	16.53237994	20.02103024	8.021360956	11.09814123	16.16912566	12.81089791	14.88276925	14.25024008
QD_2008_contig_10846895||full	Acidobacteria	37.22683536	38.04250769	133.7563417	39.70915621	17.56452077	71.5899734	11.23074007	4.236600915	19.9468369	91.68421958	7.009284894	1.587972155	5.538919501	11.82778365	71.67978005	1.108894792	2.500179217	6.296546147	5.622689778	8.51886068	1.348042007	0	0.000491924	0.683235286	8.293385405	3.905823842	5.573147361	0	0	0	1.707457403	3.484254078	0	0	0	0
QD_2008_contig_17255548||full	Acidobacteria	2.031961865	17.14848673	8.903087856	8.094335221	1.543865171	12.11444092	3.678388007	1.475704781	5.786304761	7.867692063	6.148293064	1.317839101	1.923606741	4.080589829	21.07580137	1.802273756	1.557979192	0.715142837	1.160468561	6.969472596	3.014724639	0	0	0.194069043	0.935223074	0	0.351937067	0	0.733298266	0.74996756	0	1.060164367	0	0	0	0
