	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
QD_2008_contig_10056159	9.076521287	16.89234753	3.042132176	9.215495756	7.469252319	8.058526614	25.41842201	14.88296498	9.023714797	11.22685465	18.12477414	18.77401808	21.53387973	17.20857908	11.18890626	18.09623093	19.21701814	14.78525409	17.63435576	19.83943587	17.52731083	9.418045333	9.853485328	10.74358822	9.018671555	11.36840978	17.65454272	8.155411044	12.21564818	14.6282254	9.650840559	15.7011848	6.025810043	6.554419257	7.803861844	6.266214004
QD_2008_contig_10136429	47.53359628	3.560701376	3.017448981	9.144080608	0.550535055	0	1.753344979	0	0.227196668	0.432684922	0	0	0.237060491	0	0	0	0	0	1.060039597	0	0	0	0	0.191133434	0.316154757	2.906003242	0	0	0	0	0	0	0	0	0	0
QD_2008_contig_10141412||full	2.037653141	9.405772007	14.6266338	14.52101622	0.246420856	14.54256373	0.438089613	0.537660455	2.587543141	28.13995353	5.85734141	0	0.744553483	1.657333809	5.400323239	2.664152736	1.245588686	2.419909673	2.907031664	10.07927785	10.81969088	0.179434114	0	0.448922408	3.459288576	0	22.38822044	0	0	0	0.698697665	33.19079371	0	0	0.02602173	0
QD_2008_contig_10155813||0_partial_1	4.436303222	3.694778752	38.87042709	8.345499952	2.3132893	9.611908218	1.344120882	0.760705729	3.665910949	23.50931129	2.512864217	0.133909356	1.33632904	0.978164609	2.611745897	0.362189871	1.273932255	0	0.027318676	0.593348856	4.678957463	0	0	0	2.223689503	0.907830126	2.357671663	0	0	0	0.502684593	3.41388399	0	0	0	0
QD_2008_contig_10179831	3.669908002	3.563181606	8.081970615	4.13571403	12.33400276	7.370660757	9.039071727	6.181871307	5.755277404	12.29784751	8.950947591	20.27436413	6.184495548	6.073199893	1.871148004	9.116638515	12.20719644	11.44352199	3.003013597	4.362536548	4.6879935	5.432308437	2.223069262	8.077085674	0.438275026	1.26026994	2.205853294	11.52857802	16.61473106	12.06534288	3.276659608	3.279278543	4.081504579	1.819150465	4.917060585	4.754627512
QD_2008_contig_10207010	8.219240416	10.43171662	2.411155388	9.401825345	4.464707141	1.229665423	1.53044409	2.793098335	2.765733648	1.038785002	5.973603116	1.082024661	4.078523779	3.13855009	7.329891608	2.519692911	1.964376678	2.952751113	2.365702125	3.037031032	4.105464072	0.821330207	0.211008402	5.24090373	7.315263029	3.508265954	2.830177875	0.268562727	0.105519726	0	5.482299399	5.893282085	0	0	0	0
QD_2008_contig_10526831||0_partial	15.34715702	8.277997295	5.919505422	12.61148214	14.02453532	8.603675611	23.32113262	15.23184583	12.02811034	3.885508452	9.417488339	7.239393608	17.76143163	12.56347863	5.844371074	8.803561862	9.451207105	6.262074213	17.72484317	8.171331851	10.17750655	10.7848166	5.497498764	10.61448606	7.103091434	7.524699956	4.238266884	3.515731752	7.286353285	9.228392599	13.98457152	3.576471101	10.04091518	9.848464598	9.15010975	6.587539103
QD_2008_contig_10569953||full	27.36548576	21.01001166	2.391841383	17.51686303	5.243592134	7.891358157	14.8415334	4.047751694	3.865353083	0.834377211	1.183049962	0	7.411627593	5.707619007	16.83705139	0.20115057	0.389483903	2.602284112	5.766675743	1.959214436	0.33672083	0	0	1.01701571	10.37077243	4.721960987	3.275938779	0	0	0	6.909859138	0.153348502	0	0	0	0
QD_2008_contig_10728703	13.22784526	4.346777361	32.79362773	12.05721962	6.623501707	14.8156016	3.110851602	0.110496643	3.109730114	8.320001897	1.008772806	0	2.850766421	1.406751906	12.17015557	0	0	0.031685391	1.501061708	2.294167209	1.914120321	0	0	0.400064652	9.507787149	2.789654294	6.511124447	0	0	0	0.198293409	3.614844465	0	0	0	0
QD_2008_contig_10760143	35.82167381	40.71794652	0	8.782549544	0	0	0	0	0	0	0	0	0.197078706	0	0.057208134	0	0	0	0	0	0	0	0	0	1.037180804	0	0	0	0	0	0	0	0	0	0	0
QD_2008_contig_10816416||full	36.18879345	25.01747188	25.62865389	35.0387257	6.557144617	36.79922369	3.195231392	2.112163288	9.520918037	38.2453566	6.982615265	0.134761597	3.985215973	2.025328209	9.113097946	2.452153605	2.320918309	2.509478405	7.183988178	3.936975017	9.94748698	1.07387154	0.114010777	0.887696832	3.987348819	14.01105739	10.24675584	0	0.400610798	0.551542388	5.65859957	17.93077447	0	0.179410735	0.297902848	0
QD_2008_contig_10846895||full	37.22683536	38.04250769	133.7563417	39.70915621	17.56452077	71.5899734	11.23074007	4.236600915	19.9468369	91.68421958	7.009284894	1.587972155	5.538919501	11.82778365	71.67978005	1.108894792	2.500179217	6.296546147	5.622689778	8.51886068	1.348042007	0	0.000491924	0.683235286	8.293385405	3.905823842	5.573147361	0	0	0	1.707457403	3.484254078	0	0	0	0
