,Temperature,Salinity,pH,NH4,NO3,NO2,TN,TP,SO4,TOC
CXD_0801_FDSW210423161,27,1.93,8.14,0.003488113,0.012754142,0.000393855,1.582310645,0.013205411,1.89419135,18
CXD_0802_FDSW210423162,28.3,2.92,8.18,0.001520421,0.021135244,0.000350835,1.724789389,0.017499011,1.430121575,16.8
CXD_0803_FDSW210423163,28.3,2.29,8.39,0.010633939,0.029516347,0.000187359,1.263828747,0.004004839,1.2377024,17.7
CXD_0804_FDSW210423164,28,2.33,8.29,0.004109489,0.021135244,0.000419667,1.548786235,0.003698153,1.865894413,17.7
CXD_0805_FDSW210423165,28,1.46,8.4,0.004989772,0.012754142,0.000497103,1.490118517,0.007685067,0.915117313,18.8
CXD_0807_FDSW210423167,28.4,1.35,8.31,0.00954653,0.03789745,0.000307815,1.464975209,0.013512096,0.76231385,17.9
CXD_1001_FDSW210423173,18,3.67,7.93,0.001261515,0.029516347,0.000574539,1.850505927,0.011058611,4.050417988,17.2
CXD_1003_FDSW210423175,18,6.11,8.04,0.000381232,0.021135244,0.000497103,1.615835055,0.010751925,3.790086163,18.3
CXD_1004_FDSW210423176,16,3.51,8,0.000950826,0.03789745,0.000488499,2.168987825,0.00247141,3.043047013,18
CXD_1007_FDSW210423179,19,2.93,8.2,0.002763174,0.046278552,0.000256191,1.800219312,0.021792611,2.448811325,17.6
CXD_1009_FDSW210423181,17,3.03,7.96,0.002141797,0.03789745,0.000350835,1.825362619,0.004924896,2.8223309,17.9
CXD_1015_FDSW210423187,17,2.58,7.55,0.002038235,0.021135244,0.000505707,2.269561056,0.011365296,3.167553538,17.5
CXD_1201_FDSW210423188,4,2.97,8.49,0.002193579,0.021135244,0.000729411,0.584959439,0.02952485,4.073055538,16.95
CXD_1202_FDSW210423189,3,3.87,8.62,0.001520421,0.03789745,0.000548727,1.691264978,0.01409276,4.1353088,17.65
CXD_1203_FDSW210423190,3,2.96,8.53,0.001675765,0.03789745,0.000522915,1.56554844,0.023211722,4.3164092,18.1
CXD_1213_FDSW210423200,5,4.74,8.23,0.000225888,0.054659655,0.000488499,2.21927444,0.020055158,3.75047045,17.4
CXD_1214_FDSW210423201,5,3.08,8.39,0.000381232,0.130089578,0.000514311,1.875649235,0.018652241,3.835361263,17.95
CXD_1215_FDSW210423202,3,3.05,8.43,0.000174106,0.046278552,0.000548727,1.934316953,0.025666827,4.095693088,18.4
CXD_0204_FDSW210423206,2,5.12,8.56,0.002763174,0.029516347,0.000471291,1.27220985,0.011058611,3.982505338,18.25
CXD_0209_FDSW210423211,1,3.07,8.15,0.00338455,0.029516347,0.000393855,2.428802005,0.022099297,2.273370313,17
CXD_0210_FDSW210423212,0,5.41,8,0.003850582,0.021135244,0.000402459,1.171636619,0.00676501,5.702959138,17.85
CXD_0213_FDSW210423215,0,5.5,8.45,0.001416859,0.155232886,0.000531519,1.515261824,1.79E-05,3.761789225,18.4
CXD_0214_FDSW210423216,-1,5.94,8.35,0.00302208,0.021135244,0.000514311,1.180017721,0.007991753,4.237177775,18.2
CXD_0215_FDSW210423217,0,5.98,8.28,0.003073862,0.029516347,0.000514311,1.498499619,0.017805697,3.948549013,17.6
CXD_1401_FDSW210423218,15,4.34,8.2,0.003566159,0.037791736,0.000330745,1.573929542,0.021107346,4.118330638,18.9
CXD_1402_FDSW210423219,14,3.47,8.19,0.002974594,0.029431776,0.000268792,1.56554844,0.020756617,3.988164725,18.3
CXD_1408_FDSW210423225,14,2.99,8.14,0.005771086,0.021071816,0.000182058,1.89241144,0.008481091,2.737440088,18.7
CXD_1412_FDSW210423229,13,2.22,8.34,0.005071963,0.029431776,0.00021923,1.548786235,0.019704429,2.216776438,19.6
CXD_1414_FDSW210423231,12,3.14,8.16,0.00560975,0.004351897,0.00044226,1.724789389,0.020405888,2.39221745,17.9
CXD_1415_FDSW210423232,15,4.4,8.09,0.006954218,0.004351897,0.000144887,1.900792543,0.013040572,3.971186563,18
CXD_1604_FDSW210423236,25,4.52,8.18,0.001054389,0.029516347,0.000608955,1.180017721,0.017499011,3.450522913,18.6
CXD_1609_FDSW210423241,25,2.67,7.96,0.003436331,0.063040757,0.000273399,1.30573426,0.014125468,2.827990288,19
CXD_1610_FDSW210423242,26,4.69,8.11,0.003643457,0.054659655,0.000514311,1.724789389,0.011058611,3.495798013,19.1
CXD_1611_FDSW210423243,25,2.31,8.36,0.00069192,0.029516347,0.000514311,1.607453953,0.021485926,2.307326638,18.2
CXD_1612_FDSW210423244,24,4.54,8.1,0.002141797,0.029516347,0.000488499,1.657740568,0.015658897,3.603326375,19.3
CXD_1613_FDSW210423245,24,3.11,8.16,0.001572203,0.046278552,0.000471291,1.473356311,0.019952497,3.34299455,18.9
