Items,Temperature,Salinity,pH,NH4,NO3,NO2,TN,TP,SO4,TOC
Sat,6.417919727,5.461039917,,2.728973213,1.02241634,7.10412304,,,2.853136641,
CysC,2.803682458,,,1.122439388,1.015903126,7.754862624,,,6.225185034,1.509111428
CysH,5.764425469,5.539810463,,3.028084108,,2.311474054,6.552947985,5.475216794,2.048194097,
DsrC,,,4.756002944,,,2.087542408,5.630848605,,,
PL1,,,,4.373695336,,1.236920681,,,,
GH1,5.436412228,,3.439514534,1.28179673,,6.130840216,1.193527957,,,
GH16,6.566572171,2.26624514,2.32835206,,,,,6.175784842,4.860936162,
GH18,7.808047229,8.003692013,,1.257371852,,2.846182185,,,,
GH26,4.184417268,2.870910286,,6.314078119,2.70475572,3.146403327,1.263407865,,6.25142192,
GH5,,2.710116377,,4.883870309,5.654571343,4.845379174,3.411149568,,2.99333247,
GH51,,1.167781609,,1.409411962,2.716291097,3.304786698,1.658859807,,,
GT1,,,,1.782746378,6.209490157,,1.896597836,3.528887509,,
GT17,1.812418554,,,5.928992667,3.649370825,7.100993736,,,1.877259858,
GT2,2.895553989,2.15368782,,1.131574215,2.467148709,4.934550505,,,2.85109551,
GT4,3.295841827,1.797748151,,,6.400862649,,,,,1.245520728
GT6,4.520561995,1.957751559,3.189617573,3.561357061,,,2.800627608,,,
PhoA,3.174392396,,,2.343377908,3.137226765,2.607498599,,,2.284065102,
PhoD,1.288256789,2.113342129,2.639728458,,,,,,2.146413956,
Acidobacteria,7.573571516,,,2.535490048,,,,,8.048889075,1.485297169
Actinobacteria,1.790649784,1.295470573,,,,,1.279344719,1.22487176,1.848767689,
Alphaproteobacteria,3.612765041,6.310172921,,4.372273638,1.963975157,7.185088278,,,13.6551024,2.657755288
Bacteroidetes,1.941277259,2.51214171,1.612522543,2.890496207,4.960078622,2.031120207,4.260933588,1.537952416,1.598000697,2.148807968
Betaproteobacteria,3.701547675,,,,,,,2.885728293,2.22115922,4.395455843
candidate.division.WWE3,3.713948437,2.075066016,,,,2.998728917,,3.961314398,3.019392591,
Candidatus.Aminicenantes,3.532045744,,,,,,3.490646663,4.643630225,2.551455947,1.792313995
Candidatus.Latescibacteria,1.687414547,,1.449170168,5.08936892,,,6.044803921,,3.320138089,
Chloroflexi,10.16963148,11.02978818,,6.037167572,,10.21879567,,,3.951864378,
Deltaproteobacteria,4.073803301,2.521371588,2.580745307,1.624864602,,,,,5.35466053,
Firmicutes,2.157004604,,,3.251393122,,,,1.279852382,,
Gammaproteobacteria,15.71597933,1.054996373,2.436183165,1.31436331,1.646963502,2.686554965,,,3.320140363,
Gemmatimonadetes,6.443334245,8.852531282,1.311414305,1.993990638,,1.833689837,1.090351568,,11.2141735,
Other.Proteobacteria,6.59629584,2.372544036,2.749373447,1.354469615,6.72553609,,1.320593946,1.748594266,4.424268246,8.078114097
Planctomycetes,,,2.064809337,,1.860050051,4.470054124,,,2.809606604,2.681999859
Thermodesulfobacteria,4.524141962,5.952993161,,,1.990490406,,,,5.589647665,7.550320683
