Type	env	p	r	p_value	r_value
vOTUs	Temperature	0.001	0.21090848	<0.001	0.2
vOTUs	Salinity	0.245	0.051152206	>0.05	<0.1
vOTUs	pH	0.999	-0.18756473	>0.05	<0.1
vOTUs	NH4	0.024	0.191988775	0.001-0.05	0.1-0.2
vOTUs	NO3	0.834	-0.100641769	>0.05	<0.1
vOTUs	NO2	0.001	0.312189072	<0.001	0.2
vOTUs	TN	0.851	-0.088930129	>0.05	<0.1
vOTUs	TP	0.817	-0.064064297	>0.05	<0.1
vOTUs	SO4	0.01	0.200088955	0.001-0.05	0.2
vOTUs	TOC	0.005	0.200153496	0.001-0.05	0.2
vPCs	Temperature	0.009	0.146019169	0.001-0.05	0.1-0.2
vPCs	Salinity	0.398	0.009958078	>0.05	<0.1
vPCs	pH	0.995	-0.197644259	>0.05	<0.1
vPCs	NH4	0.13	0.114933754	>0.05	0.1-0.2
vPCs	NO3	0.849	-0.118158277	>0.05	<0.1
vPCs	NO2	0.031	0.216327994	0.001-0.05	0.2
vPCs	TN	0.903	-0.130112852	>0.05	<0.1
vPCs	TP	0.875	-0.094806294	>0.05	<0.1
vPCs	SO4	0.163	0.096646095	>0.05	<0.1
vPCs	TOC	0.007	0.253060284	0.001-0.05	0.2
mOTUs	Temperature	0.072	0.076911702	>0.05	<0.1
mOTUs	Salinity	0.13	0.085633789	>0.05	<0.1
mOTUs	pH	0.998	-0.175379398	>0.05	<0.1
mOTUs	NH4	0.043	0.136600296	0.001-0.05	0.1-0.2
mOTUs	NO3	0.614	-0.036686453	>0.05	<0.1
mOTUs	NO2	0.001	0.38492973	<0.001	0.2
mOTUs	TN	0.973	-0.14478859	>0.05	<0.1
mOTUs	TP	0.856	-0.075448737	>0.05	<0.1
mOTUs	SO4	0.016	0.192335522	0.001-0.05	0.1-0.2
mOTUs	TOC	0.048	0.137697338	0.001-0.05	0.1-0.2
