	Temperature	Salinity	pH	NH4	NO3	NO2	TN	TP	SO4	TOC	Sat	CysC	CysH	DsrC	PL1	GH1	GH16	GH18	GH26	GH5	GH51	GT1	GT17	GT2	GT4	GT6	PhoA	PhoD	Acidobacteria	Actinobacteria	Alphaproteobacteria	Bacteroidetes	Betaproteobacteria	candidate.division.WWE3	Candidatus.Aminicenantes	Candidatus.Latescibacteria	Chloroflexi	Deltaproteobacteria	Firmicutes	Gammaproteobacteria	Gemmatimonadetes	Other.Proteobacteria	Planctomycetes	Thermodesulfobacteria
CXD.0801.FDSW210423161	27	1.93	8.14	0.003488113	0.012754142	0.000393855	1.582310645	0.013205411	1.89419135	18	0.0001979	0	0.000759506	1.82E-05	3.12E-05	1.31E-05	2.89E-05	0	0.000148591	5.67E-06	9.53E-05	3.78E-05	4.68E-05	0.000274638	4.45E-05	3.51E-06	1.95E-05	5.30E-05	4.150789268	3.238124009	1.746612357	2.560561991	1.549669009	3.655727737	3.656495331	6.729837817	1.592348559	2.503525974	6.426836699	1.356313351	0.659089051	0.743144042	4.745291393	5.680333235
CXD.0802.FDSW210423162	28.3	2.92	8.18	0.001520421	0.021135244	0.000350835	1.724789389	0.017499011	1.430121575	16.8	0.000117906	0	0.000753006	6.91E-06	5.23E-05	8.37E-05	2.07E-05	0	0.00020155	0	3.34E-05	7.97E-05	2.26E-05	0.000485332	7.76E-05	1.85E-05	0.000108237	4.48E-06	2.953013168	2.56983357	2.372346526	4.197832169	1.36035056	4.378780614	4.716471746	1.280214389	1.253557035	1.968634068	5.042533956	1.295793097	0.555295585	1.299629573	5.937623611	5.580807666
CXD.0803.FDSW210423163	28.3	2.29	8.39	0.010633939	0.029516347	0.000187359	1.263828747	0.004004839	1.2377024	17.7	0.000288089	0	0.000547438	1.74E-05	3.91E-06	0.000304275	8.51E-05	0	0.000119517	1.79E-05	2.00E-06	0	3.79E-05	0.000423672	1.22E-05	0.000109707	7.08E-05	0	2.109541437	1.607727513	2.325925693	1.738750725	1.828687313	2.124184739	4.28992555	1.765800035	0.851042519	1.357694404	1.530955202	0.799775902	0.22731224	0.249589945	2.297667246	1.608946042
CXD.0804.FDSW210423164	28	2.33	8.29	0.004109489	0.021135244	0.000419667	1.548786235	0.003698153	1.865894413	17.7	0.000222969	0	0.000726943	0	4.41E-05	0.000104599	7.42E-05	0	0.000178276	7.96E-06	7.71E-05	4.48E-05	8.83E-05	0.000326082	7.88E-05	1.97E-05	6.00E-05	4.46E-05	2.8509423	2.690882057	2.476556715	2.644179201	1.528273572	2.488547738	4.48276313	1.491200802	1.2811654	1.990302292	3.636927427	1.25995089	0.480319078	0.822687098	4.407932242	5.18215482
CXD.0805.FDSW210423165	28	1.46	8.4	0.004989772	0.012754142	0.000497103	1.490118517	0.007685067	0.915117313	18.8	7.18E-05	0	0.000853595	9.59E-06	2.37E-05	3.47E-05	0.000109809	0	0.000216647	0.000104693	5.61E-05	1.94E-05	8.17E-05	0.000281555	2.84E-05	6.56E-05	6.95E-05	5.75E-07	1.041178573	1.949125563	1.568767306	2.507949091	1.999386663	4.480914873	4.064869093	5.132642616	1.101541918	1.266446729	1.626815444	1.218346739	0.601767687	0.39035599	5.496714967	4.907651455
CXD.0807.FDSW210423167	28.4	1.35	8.31	0.00954653	0.03789745	0.000307815	1.464975209	0.013512096	0.76231385	17.9	0.000312632	9.79E-06	0.000550311	9.82E-06	6.33E-06	0.000109724	1.35E-05	0	0.000158045	2.47E-05	0	0	3.65E-05	0.000688215	0	4.55E-05	4.42E-05	6.25E-06	1.480959608	1.660620253	1.968100292	2.444863271	1.957279024	2.119552428	4.39530416	1.867100613	1.217059919	1.634489293	4.896782464	1.172209	0.451185435	0.571049774	2.561784895	5.104202409
CXD.1001.FDSW210423173	18	3.67	7.93	0.001261515	0.029516347	0.000574539	1.850505927	0.011058611	4.050417988	17.2	5.38E-05	0.00011853	0.000569634	5.14E-05	1.51E-05	7.05E-05	0	0	9.55E-05	2.46E-05	6.60E-05	2.12E-05	0	0.000293305	0	8.82E-05	5.51E-05	7.07E-06	1.752357167	2.057861414	1.248223245	3.493480011	1.060180657	5.54196362	3.000064874	4.458935685	1.365830934	1.608234808	14.75545979	1.103300627	1.232583281	0.4295876	4.525146968	6.953810141
CXD.1003.FDSW210423175	18	6.11	8.04	0.000381232	0.021135244	0.000497103	1.615835055	0.010751925	3.790086163	18.3	2.03E-05	0	0.00066328	0	0.000125557	2.29E-05	2.30E-05	0	0.000116196	1.46E-05	1.62E-05	2.69E-05	1.86E-05	0.000124312	3.08E-05	3.72E-05	3.84E-05	1.07E-05	2.110065824	1.536301125	1.151063682	3.830383131	1.381916716	5.675249872	3.426934086	3.852027023	1.722104312	1.523077996	34.00656016	1.103121219	1.243567614	0.857760774	4.107598582	6.509764158
CXD.1004.FDSW210423176	16	3.51	8	0.000950826	0.03789745	0.000488499	2.168987825	0.00247141	3.043047013	18	0.000129529	0	0.000714822	3.04E-05	2.86E-05	7.07E-05	8.50E-05	0	0.000130332	6.47E-05	2.29E-05	4.61E-05	9.81E-06	0.000288566	2.79E-05	6.90E-05	4.16E-05	3.96E-06	1.248904479	1.679512693	1.468176793	2.316934423	1.355425755	3.015369786	4.108301776	1.774244225	1.168332367	1.402215068	3.633849928	0.821570513	0.544740238	0.306076483	2.778814515	4.729123857
CXD.1007.FDSW210423179	19	2.93	8.2	0.002763174	0.046278552	0.000256191	1.800219312	0.021792611	2.448811325	17.6	0.000395087	0	0.000378581	0	4.91E-06	0.000169743	7.25E-06	0	9.99E-05	3.15E-06	0	4.13E-06	0.000144063	0.00064427	9.69E-06	0.000103274	1.85E-05	0	1.655080061	1.815960195	2.957267858	2.366231021	1.975919017	1.800543253	4.696714727	1.078080656	1.123481741	1.633603717	4.261097449	1.086134522	0.379016123	0.96586538	2.051537951	4.47765585
CXD.1009.FDSW210423181	17	3.03	7.96	0.002141797	0.03789745	0.000350835	1.825362619	0.004924896	2.8223309	17.9	5.23E-05	0	0.000475725	1.30E-05	3.75E-05	1.48E-05	0	0	0.000134927	2.03E-05	0	1.51E-05	5.92E-05	0.000237908	1.13E-05	0.000113311	9.68E-05	0	1.203264173	2.652754819	1.953403215	4.063138146	2.228646051	16.98158436	4.331468382	1.076657789	1.609963418	1.529943604	25.80859681	1.437105252	1.507600005	0.551421819	2.909283885	7.581851281
CXD.1015.FDSW210423187	17	2.58	7.55	0.002038235	0.021135244	0.000505707	2.269561056	0.011365296	3.167553538	17.5	2.48E-05	0	0.000470616	7.77E-05	1.74E-05	0	0	3.34E-06	0.000141381	2.65E-05	1.26E-05	1.90E-05	3.58E-05	0.000168414	7.81E-05	0.000135615	0.000146734	0	0.874945496	2.561844012	1.546486436	6.171399267	10.35213301	61.77506341	4.386343761	1.927750197	1.239211096	1.568724534	337.9665086	0.915332572	0.912489502	0.569010376	2.647230246	4.145358669
CXD.1201.FDSW210423188	4	2.97	8.49	0.002193579	0.021135244	0.000729411	0.584959439	0.02952485	4.073055538	16.95	3.89E-05	7.10E-05	0.000594029	0	4.13E-05	4.64E-06	5.89E-06	0	0.000116168	5.40E-05	6.21E-05	1.28E-05	1.01E-05	0.000248822	1.22E-05	7.36E-05	2.87E-05	1.42E-05	2.535139884	2.157583572	1.385465458	4.221356846	1.453760941	7.707279941	3.640497489	6.586502399	1.588950367	1.825427171	32.93181837	1.550720813	1.10630393	0.595861904	5.49807821	7.154107199
CXD.1202.FDSW210423189	3	3.87	8.62	0.001520421	0.03789745	0.000548727	1.691264978	0.01409276	4.1353088	17.65	2.49E-05	3.49E-05	0.000657322	9.58E-06	5.25E-05	3.27E-05	1.33E-05	0	8.42E-05	1.70E-05	2.04E-05	9.38E-06	6.47E-06	0.000311083	2.47E-05	9.10E-05	3.10E-05	1.02E-05	1.778655429	1.772705787	1.2976223	3.101857693	1.390739131	4.921502498	3.515817448	2.32184135	1.322557855	1.641574305	20.37006174	1.195271072	1.119251887	0.543953386	3.780975644	5.031037428
CXD.1203.FDSW210423190	3	2.96	8.53	0.001675765	0.03789745	0.000522915	1.56554844	0.023211722	4.3164092	18.1	9.76E-05	0	0.000493879	0	3.13E-05	8.06E-05	5.70E-06	0	0.00010802	8.56E-06	7.34E-05	9.19E-07	4.55E-05	0.000915247	8.74E-06	1.97E-05	3.09E-05	4.88E-06	1.302748506	2.841341256	1.665279377	2.011181166	1.30363468	2.861056503	2.3769392	2.899555834	1.402512256	2.019020892	5.461829542	1.285289911	1.03661764	0.661802953	3.532145953	3.851183036
